id,added_at,name,popularity,album_id,album
13BDiikG6y5o5cQTK0HpW6,2024-10-23T12:42:34Z,Soltera - W Sound 01,80,5UQC6N5rRND3GZKzysRdA4,Soltera (W Sound 01)
2btNsI4OvcVl7SAHQQDHFB,2024-10-23T12:42:34Z,Mírame,86,5oCAS6VzHoESewtXUGMqbz,Mírame
281YJmnThveWjsWVic9Ym6,2024-10-23T12:42:34Z,Las Piponas (Remix),70,6FnnT3IOidLkfgQtrC2RJb,Las Piponas (Remix)
5QjmUqgpPQgXgg4606DqZF,2024-10-23T12:42:34Z,UWAIE,88,5H7sO778w4hgr2v2600ajN,UWAIE
2ALQyXMC26Vew7JX7ert9M,2024-10-23T12:42:34Z,POLOS OPUESTOS REMIX - BLESSD VERSION,65,2o89OBJVbw4BdBeyVOGanN,POLOS OPUESTOS REMIX (BLESSD VERSION)
2gmd7lY3QSzLh0xIY4cRvi,2024-10-23T12:42:34Z,SE ME OLVIDA,85,00ESTj1vBUkIbaTHaXaXu3,SE ME OLVIDA
7bywjHOc0wSjGGbj04XbVi,2024-10-23T12:42:34Z,LUNA,88,0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS
08pbRBstuvH7ArRxeb8fwT,2024-10-23T12:42:34Z,Hasta Aquí Llegué,82,7hYoXVqpRhN9ATvO8Kf3w5,Hasta Aquí Llegué
57pj5sOWSCAqZm088LMcE4,2024-10-23T12:42:34Z,Oe Bebé,73,3L71xIS0NwOIMaM3OSWLPx,Oe Bebé
6WatFBLVB0x077xWeoVc2k,2024-10-23T12:42:34Z,Si Antes Te Hubiera Conocido,94,5ylbxH7EqpsmHZCRuiYewS,Si Antes Te Hubiera Conocido
60u6hcpH5Qm1M3xESdNBrB,2024-10-23T12:42:34Z,Frente al Mar,76,0Wf0E2diHQJRdkPR12BcXs,Frente al Mar
1fTjqf10accJCDYstPwwZ6,2024-10-23T12:42:34Z,Ohnana,86,3IdVqIfyLPqxPZusYgifLo,Ohnana
0Sr7ssScx54yxdM2ols7nW,2024-10-23T12:42:34Z,Q U E V A S H A C E R H O Y ?,89,3C5uwdRE5QRoXSGPPxpDd4,PRIMERA MUSA
63pLfjK6FvcYJYMGwtHjd6,2024-10-23T12:42:34Z,SORRY 4 THAT MUCH,83,1kZGpaXOeB48TPT2JatjvC,SORRY 4 THAT MUCH
3OJDtCdYs8QJnui708tEU3,2024-10-23T12:42:34Z,Soltera,86,0VRb8B2ls0GDEfmKiL8FWJ,Soltera
7chTH3GBjjAyagf0SPCZDL,2024-10-23T12:42:34Z,SI SABE FERXXO,75,7ot6ebVthlYG3wXzLaZ5NF,SI SABE
1cRtvrg3obMXE8ls9Zxv1G,2024-10-23T12:42:34Z,Party,54,4QRFtOCSBQLbBiMZpy5oDM,Party
1cOboCuWYI2osTOfolMRS6,2024-10-23T12:42:34Z,Tu Boda,88,60cQzWfmdg4hyDXrpW6kOA,Tu Boda
5pVJ3IlnpIorU44oXizzG5,2024-10-23T12:42:34Z,Orion,82,2FWRFIH8Agbw8JGG4hbdG6,Orion
6a9Z1jUms915w4O7N1PxjY,2024-10-23T12:42:34Z,Santa,83,3uzutRS5qX4ng5Skjh5S6W,Santa
3KwYiawBfqngH7eaUHQn2N,2024-10-23T12:42:34Z,FDSR,66,7klplPJ1UEKbEsUtm5FK0z,FDSR
4bw8mcDUSRWfQo63ZTYRnU,2024-10-23T12:42:34Z,Según Quién,84,3Fk8yQvPlCHgwR2pNhEIRA,Don Juan
0qeIFEGRQqHoaJtLCl0U73,2024-10-23T12:42:34Z,DEGENERE 👑 (feat. benny blanco),68,3pkIK8SI5mcUUjb9jNjx4H,LA PANTERA NEGRA (DELUXE)
2llFXBrftm6YJzBj3tpk0s,2024-10-23T12:42:34Z,Doblexxó,76,1hUqwHvAVIEXMXqIrkHgPo,Rayo
2CeKVsFFXG4QzA415QygGb,2024-10-23T12:42:34Z,Feliz Cumpleaños Ferxxo,81,7pijRxgRaBirPz6wDaJIp9,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM
5vNRhkKd0yEAg8suGBpjeY,2024-10-23T12:42:34Z,APT.,88,2IYQwwgxgOIn7t3iF6ufFD,APT.
7iQXYTyuG13aoeHxGG28Nh,2024-10-23T12:42:34Z,PERRO NEGRO,85,4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana
505v13epFXodT9fVAJ6h8k,2024-10-23T12:42:34Z,AMARGURA,85,4kS7bSuU0Jm9LYMosFU2x5,MAÑANA SERÁ BONITO
2plbrEY59IikOBgBGLjaoe,2024-10-23T12:42:34Z,Die With A Smile,100,10FLjwfpbxLmW8c25Xyc2N,Die With A Smile
3vpvKFigw8bNApZzuOleGe,2024-10-23T12:42:34Z,Movimiento de Caderas,64,5vGRW22g9I9zEE67PL1B5r,The SexyTrip
0W2pF7zyj9dwZVK1RoUyjh,2024-10-23T12:42:34Z,WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),73,1FyZ8Mho4TRJ9oR0IrE23P,WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo)
6DUdDIRgLqCGq1DwkNWQTN,2024-10-23T12:42:34Z,Borro Cassette,82,3PomvFR694SrCSZzDWMWV7,"Pretty Boy, Dirty Boy"
3DY25d8SrkLEI6Xugzf6tT,2024-10-23T12:42:34Z,GODIVA,68,7vc6473A7yNq5PtNh6Zor9,GODIVA
05sO6FK8E9l2cfwnEUTjHq,2024-10-23T12:42:34Z,CUAL ES ESA,72,0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS
3u2jlo9kygiIAq7SPVuw6S,2024-10-23T12:42:34Z,Dile a Tu Amiga,69,6q8dHB9YC18YbIqU2Q0j7X,Dile a Tu Amiga
1AddbBdKFz8wdqatGVSsYS,2024-10-23T12:42:34Z,Es Un Secreto,70,14zQ8tAtR4VKcFjIvxop3l,Cipote Carnaval 2011
0rNqDh9zWWJVTLS4VfceHP,2024-10-23T12:42:34Z,Brickell,80,5WTsC6KDdxp9xVQrAMIU6c,MANIFESTING 20-05
5RqSsdzTNPX1uzkmlHCFvK,2024-10-23T12:42:34Z,QLONA,85,0FqAaUEyKCyUNFE1uQPZ7i,MAÑANA SERÁ BONITO (BICHOTA SEASON)
1pLCpA1RN8avJxSD3ZCwhj,2024-10-23T12:42:34Z,Pa' Que La Pases Bien,76,5MLBEmgDNIltSfxvXesq9s,El Fenomeno
3tt9i3Hhzq84dPS8H7iSiJ,2024-10-23T12:42:34Z,La Bachata,83,7ubO2LZJZFpyhiWMZkRwcH,2000
1JXcB149QtbcIpDUA6YZOB,2024-10-23T12:42:34Z,Algo Que Se Quede,70,1uF0bcswgdJBg2aq2r1HPk,40
2J9B63FawlTaPdg4eH5X03,2024-10-23T12:42:34Z,Loco,77,1uFr2PCsnDVZ71AiJnZYrb,Loco
4RPeZbmVON5ZKT5HC9wALt,2024-10-23T12:42:34Z,Morena,74,4WRcqPJRVwjF0n6ZFwaD83,Morena
5PDXWKryvv1SRcmSozUdTZ,2024-10-23T12:42:34Z,TBC (KARMA),66,7s0eWl6syb8IFCR2HQUCZG,TBC (KARMA)
3fJHbMUnzceimOnNjp63fF,2024-10-23T12:42:34Z,Primera Cita,83,6TsExCpZJTDj7Fd0ez2knv,Colmillo De Leche
0T2pB7P1VdXPhLdQZ488uH,2024-10-23T12:42:34Z,Normal,79,7pijRxgRaBirPz6wDaJIp9,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM
7ExDiKtnpUtoikn2yfQd54,2024-10-23T12:42:34Z,NECESIDAD,66,22HXVovSrZivPlqtXBQZcU,NECESIDAD
1hZsWUnLbqRw09jLAMQSsb,2024-10-23T12:42:34Z,CLASSY 101,80,0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS
54zcJnb3tp9c5OVKREZ1Is,2024-10-23T12:42:34Z,MI EX TENÍA RAZÓN,83,0FqAaUEyKCyUNFE1uQPZ7i,MAÑANA SERÁ BONITO (BICHOTA SEASON)
2mLTxNa0bwZX8eNBsuODLX,2024-10-23T12:42:34Z,Una Vida Pasada,77,1IwCEfVYg8KlEankYmqeP7,cuatro
